Question Number,Question,Choice A,Choice B,Choice C,Choice D,Choice E
480,"In a group of 144 car insurance policyholders, each policyholder has no accidents this 
year with probability 0.80, one accident with probability 0.16, and two accidents with 
probability 0.04.    
 
The numbers of accidents this year for different policyholders are mutually independent. 
 
Calculate the variance of the total number of accidents this year for this group of 
policyholders.",3.15,34.56,37.79,46.08,54.37
481,"The number of days required for a damage control team to locate and repair a leak in the 
hull of a ship is modeled by a discrete random variable, N.  N is uniformly distributed on 
{1, 2, 3, 4, 5}.   
 
The cost of locating and repairing a leak is 
2
1.
N
N
+
+
   
 
Calculate the expected cost of locating and repairing a leak in the hull of the ship.",11,12,13,14,15
482,"A flight is delayed due to bad weather.  The delay time is modeled by a random variable 
with a continuous uniform distribution.  The expected delay time is three hours, and the 
standard deviation of the delay time is one hour.  
 
Calculate the shortest possible delay time, in hours.",0.58,1.27,1.73,2.31,2.42
483,"A doctor tests 100 patients for two diseases, A and B.  Each patient has probability p of 
having disease A and probability p of having disease B, with 0
0.50
≤
≤
p
. 
 
For each patient, the event of having disease A and the event of having disease B are 
independent.  The test outcomes for different patients are mutually independent. 
 
The variance of the number of patients who have disease A is 9.00. 
 
Calculate the variance of the number of patients who have at least one of the two 
diseases.",15.39,1600,16.59,17.19,18.00
484,"An insurance company has customer service operations in Denver, Philadelphia, and Salt 
Lake City. 
 
Employee salaries in Denver are uniformly distributed from 25 to 90.  Employee salaries 
in Philadelphia are uniformly distributed from 45 to x.  Employee salaries in Salt Lake 
City are uniformly distributed from 10 to x/3. 
 
The 40th percentile of Denver salaries is equal to the 20th percentile of Philadelphia 
salaries. 
 
Calculate the median of Salt Lake City employee salaries.",12.5,17.5,25.0,35.0,60.0
485,"The loss due to a warehouse robbery is modeled by a uniform distribution on the interval 
[
]
,2
a
a , where a is a positive constant. 
 
The ratio of the 40th percentile of the loss to the pth percentile of the loss equals the ratio 
of the pth percentile of the loss to the 80th percentile of the loss. 
 
Calculate p.",56.6,58.7,60.0,61.4,65.4
486,"A study of fire damage claims is conducted.  Claim amounts are mutually independent 
and each claim amount exceeds 1000 with probability 0.20. 
 
Calculate the probability that at least one of three randomly selected claim amounts 
exceeds 1000.",0.472,0.488,0.512,0.528,0.600
487,"A group of students will take Exam 1.  Those who pass Exam 1 will take Exam 2.  Those 
who also pass Exam 2 will take Exam 3.  For the initial group, the probability of passing 
Exam 1 is 0.80, the probability of passing Exams 1 and 2 is 0.48, and the probability of 
passing Exams 1, 2, and 3 is 0.36.  A student who fails an exam stops taking exams. 
 
Calculate the probability that a student of this group passes Exam 2, given that the 
student does not pass all three exams.",0.12,0.19,0.25,0.64,0.75
488,"A representative of a market research firm contacts consumers by phone to conduct 
surveys.  The specific consumer contacted by each phone call is randomly determined.  
The probability that a phone call produces a completed survey is 0.25. 
Calculate the probability that the eighth phone call produces the third completed survey.",0.03,0.08,0.13,0.21,0.31
489,"The amount of loss under an insurance policy is uniformly distributed on [10, 60].  The 
insurer will reimburse the full amount of the loss up to a maximum benefit.  The expected 
benefit per loss is equal to 31. 
 
Calculate the maximum benefit under the policy.",35,38,40,52,56
490,"A person mails four packages.  Two are fragile and two are not. 
 
Each fragile package has probability 0.2 of breaking; each non-fragile package has 
probability 0.1 of breaking.  The occurrences of packages breaking are mutually 
independent. 
 
Exactly two packages break.  
 
Calculate the probability that both broken packages were fragile.",0.032,0.040,0.167,0.336,0.609
491,"Let X be a random variable with cumulative distribution function 
 









>
≤
≤
−
−
<
≤
<
=
.2
,1
2
1
,1
2
2
1
0
,
2
1
0
,0
)
(
2
3
x
x
x
x
x
x
x
x
F
 
Calculate E(X).",3/8,25/48,2/3,1,25/24
492,"A machine’s lifetime X, in years, is modeled by an exponential distribution.  The 
probability that the machine still functions after one year is 0.80.   
 
F is the cumulative distribution function for X. 
 
Determine F(x) for x ≥ 0.",(,"0.8
(",(,"0.8
(","0.8
("
493,"An insurer sells a group life and disability policy. 
 
The joint probability distribution for death and disability is given in the table below. 
 
 
Number of Deaths 
0 
1 
2 
3 
4 
 
Number of 
Disabilities 
0 
0.51 
0.09 
0.04 
0.01 
0.01 
1 
0.08 
0.06 
0.02 
0.01 
0.01 
2 
0.04 
0.03 
0.01 
0.01 
0.00 
3 
0.03 
0.02 
0.01 
0.01 
0.00 
 
Calculate the probability of at least two disabilities given no more than one death.",0.12,0.14,0.15,0.25,0.75
494,"Each of the twelve employees of a company independently has the same probability of 
being accident-free this year.   
 
The expected number of accident-free employees is 9. 
 
Calculate the variance of the number of accident-free employees this year.",0.75,1.50,2.25,9.00,12.00
495,"The heights, in feet, of basketball players in a city league are modeled by a random 
variable, X, with probability density function 
 
2
3(
6) ,
for 5
7
( )
2
0,
otherwise.
x
x
f x

−

<
<
= 

 
Calculate Var(
).
X",0.33,0.60,2.00,4.00,6.00
496,"Three identical machines are purchased simultaneously and are still operating after one 
year.  The manufacturer then buys an insurance policy that pays 1000 if any of the three 
machines fails during the second year of use.  The three machines operate independently. 
 
The age at failure, in years, for each of these machines has cumulative distribution 
function 





≥






−
=
otherwise.
,0
1
for
,
1
1
)
(
4
1
x
x
x
F
 
Note that 
1
≥
x
because each machine has already successfully completed one year of 
operation. 
 
Calculate the expected claim payment for this policy.",4,159,405,595,996
497,"Let X, Y, and Z represent three independent losses with common density function 
 





∞
<
<
=
−
otherwise.
,
0
0
for
,
6
1
)
(
6
/
x
e
x
f
x
 
 
 
 
Let W represent the minimum of the losses.  
 
Calculate E(W).",1/6,1/3,1/2,2,6
498,"In a large state, drivers are divided into three distinct age groups.  The following table 
provides the probabilities that a one-car accident, involving a driver in a given age group, 
occurs in an urban, suburban or rural location in that state.  
 
 
 
 
Probability of accident location by age group 
Driver’s age 
Urban 
Suburban 
Rural 
Under 25 
7/10 
1/5 
1/10 
25-65 
1/4 
3/5 
3/20 
Over 65 
1/20 
7/20 
3/5 
 
Fifty-five percent of one-car accidents involve a driver who is under 25, and fifteen 
percent involve a driver who is over 65. 
 
A one-car accident occurs in a suburban location.    
 
Calculate the probability that the driver is under 25.",0.11,0.17,0.32,0.55,0.76
499,"An insurance agent sells life insurance policies.  The number of life insurance policies 
sold in a month can be modeled by a Poisson distribution with mean 4.   
 
The agent sold at least one life insurance policy in a particular month. 
 
Calculate the probability that the agent sold more than three life insurance policies in that 
month.",0.567,0.577,0.624,0.776,0.839
500,"Whether a football player is injury-free in any one season is independent of whether the 
player is injury-free in any other seasons.  The player’s probability of being injury-free 
for a season is the same for each season.  Let x represent the player’s probability of being 
injury-free for exactly one of the next two seasons.   
 
Determine the player’s probability of being injury-free for exactly two of the next four 
seasons.",0.5x,2x,x2,1.5x2,3x2
501,"Each of ten homeowners independently has the same probability of experiencing at least 
one loss this year.  Eight of these ten homeowners are insured.   
 
Three of the ten homeowners experience at least one loss. 
 
Calculate the probability that at least two of these three homeowners are insured.",0.384,0.467,0.700,0.896,0.933
502,"A medical insurance policyholder just experienced a hospitalization, resulting in an 
undetermined financial loss that is exponentially distributed.  The policyholder has Plan 
A, which reimburses the first two units for each hospitalization. The policyholder could 
have chosen Plan B, which reimburses the first ten units for each hospitalization. 
 
The probability that this hospitalization is completely covered under Plan A is 0.15.   
 
Calculate the probability that this hospitalization would have been completely covered 
had the policyholder chosen Plan B.",0.200,0.351,0.443,0.556,0.750
503,"A trapeze artist has a constant probability, less than 0.5, of having an accident in any 
particular performance.  The occurrence of an accident in any one performance is 
independent of the occurrence of an accident in all other performances.  The probability 
that the artist’s first accident occurs in the second performance is 0.16.   
 
Calculate the probability that the artist’s first accident occurs in the fourth performance.",0.0064,0.0256,0.0800,0.1024,0.2000
504,"A construction worker experiences a back injury resulting in a loss on an insurance 
policy.  Losses under the policy are uniformly distributed on the interval [2, 10].  The 
insurer reimburses the worker for 60% of this loss.   
 
Calculate the 30th percentile of the construction worker’s unreimbursed loss from the 
back injury.",1.76,1.80,2.64,3.04,4.40
505,"At a certain intersection, the number of accidents that occur per day is modeled by a 
Poisson distribution with mean 0.20.   
 
The numbers of accidents that occur on different days are all mutually independent. 
 
Calculate the probability that exactly three accidents occur at the intersection in the next 
seven days.",0.025,0.087,0.113,0.191,0.224
506,"A college office has two student assistants, Bob and Ann, who work on alternate days. 
Each day, the assistant draws a morning and an afternoon assignment from a jar 
containing four assignments, one outdoor and three indoor. 
 
Bob always makes his selection with replacement, while Ann makes hers without 
replacement. 
 
On a particular day, one outdoor and one indoor assignment are selected. 
 
Calculate the probability that Bob made the selections.",3/16,3/8,3/7,7/16,1/2
507,"The random variable X has density function 
 
5
0.01 ,
for > 0
( )
0,
otherwise,
x
cx e
x
f x
−

= 

 
where c is a constant. 
 
Calculate E(X).",100,200,300,500,600
508,"A statistician determines that the probability density function 
( )
f x of the losses from 
construction accidents is proportional to 
(
)
9
2
1
x
x
+
, for all nonnegative x. 
 
Calculate the 2nd percentile of the losses from construction accidents.",0.003,0.020,0.045,0.050,0.222
509,"A credit card protection insurance company’s monthly profits are independent and 
normally distributed with constant mean and variance.  The probability that the company 
earns an overall positive profit in a given year is 0.60. 
 
Calculate the probability that the insurance company earns a positive profit in a given 
month.",0.51,0.53,0.60,0.81,0.96
510,"A company insures two buildings for one year.  Its insurer will pay the value of a loss, 
rounded down to the nearest million.  Let  X and Y  represent the insurer’s payments in 
millions on each of the buildings.  The joint probability function is: 
 
 
 
X  
 
 
0 
1 
2 
Y 
0 
0.38 
0.10 
0.02 
1 
0.16 
0.11 
0.03 
2 
0.06 
0.09 
0.05 
 
Calculate the expected value of the maximum of X and Y.",0.33,0.70,0.87,1.20,2.00
511,"Each loss under a disability insurance policy can range from 0 to 1.  The probability 
density function of a loss is proportional to the fifth power of the loss.  
 
The insurer plans to implement a constant deductible d for each loss so that the 
probability that the insurer pays something for at least one of the next two losses has a 
specified value P.  Assume that the next two losses are independent. 
 
Determine the deductible d the insurer should charge, in terms of P.",5,10,101−P,12,121−P
512,"A random variable, X, denotes the number of airplanes landing each hour at a certain 
airport.  X is modeled by a Poisson distribution.  On average, 20 airplanes are expected to 
land each hour.  
 
Calculate 
2
E(
)
E(
)
X
X

.",40,60,420,440,820
513,"A point P is randomly selected in the Cartesian plane in such a way that the distance from 
P to the origin has a uniform distribution on the interval [0, 3].   
 
Calculate the variance of the area of the circle that is centered at the origin and passes 
through P.","2
9
/16
π","2
3
/","2
3
/","2
36
/","2
81
/"
514,"On any given day, the number of available units, X, of a given commodity, and the 
market price per unit, Y, have joint probability function 
 
 
6
2 ,
for
1,2 and
10,12,14
( , )
18
0,
otherwise.
y
x
x
y
p x y

−
−
=
=

= 

 
  
Assume that all available units will sell at the market price per unit. 
 
Calculate the expected revenue generated by the sale of all available units.",140/9,144/9,150/9,156/9,162/9
515,"Losses, X, in millions, are modeled by a distribution with density function 
 
3
(1
) ,
for 0
1
( )
0,
otherwise,
k
x
x
f x

−
<
<

= 
 
where k is a constant. 
 
Claim payments are limited to a maximum of 225,000. 
 
Calculate the median claim payment.","159,000","173,000","187,000","200,000","225,000"
516,"Let R be the proportion of right-handed babies among all newborns in a town each year.  
R has a beta distribution with density function 
 
 
 
(
)
1
1 1
,
for 0
1
( )
0,
otherwise,
k r
r
r
f r
β
α
−
−


−
<
<


= 

 
 
where 
13,
2
α
β
=
=
, and k is a positive constant. 
 
Calculate P[R > 0.9].",0.208,0.240,0.415,0.479,0.575
517,"An insurance policy provides coverage for two types of claims.  The numbers of annual 
claims of Type I and Type II are denoted by X and Y, respectively.   
 
The joint probability function of X and Y is given in the following table. 
 
 
 
y 
 
 
0 
1 
2 
x 
0 
0.31 
p 
0.05 
1 
0.21 
0.13 
q 
 
 
A Type I claim costs 750, and a Type II claim costs 1000.  The expected annual Type I 
claims cost is 345.  
 
Calculate the variance of Y.",0.25,0.57,0.67,0.75,0.82
518,"In a certain region, the number of earthquakes in the next decade is modeled by a Poisson 
distribution.  The probability of exactly two earthquakes is 0.43 times the probability of 
exactly one earthquake. 
 
Calculate the probability of at least three earthquakes in the next decade in this region.",0.010,0.012,0.045,0.056,0.080
519,"A tornado occurs in each of two cities, A and B.  The durations of the tornadoes in cities 
A and B are independent and exponentially distributed with means 5 minutes and 4 
minutes, respectively. 
 
The tornadoes in cities A and B result in damages valued at 1.00 and c per minute, 
respectively, where c is a constant. 
 
The standard deviation of the total damage to the two cities is 5.20. 
 
Calculate c.",0.05,0.13,0.36,2.35,5.51
520,"The random vector (W,X,Y) has the following properties: 
 
i) 
W assumes values of only 0 and 1. 
ii) 
X and Y each assume values of only 1 and 2. 
iii) 
P[W = w , X = x , Y = y] is proportional to x + y – w. 
 
Calculate Var(
|
1)
W Y =
.",51/400,15/64,6/25,3/8,2/5
521,"An insurance company only sells auto insurance and property insurance.  Total annual 
auto claims, X , follow a normal distribution with a mean of 15 and a standard deviation 
of 4.  Total annual property claims, Y, follow a normal distribution with a mean of 20 and 
a standard deviation of 5. 
 
The variables X and Y are independent. 
 
Calculate the probability that the total overall claims, 
,
X
Y
+
 is less than 45.",0.60,0.71,0.87,0.94,0.99
522,"A motorist is driving without an automobile insurance policy in a region where law 
requires the motorist to have automobile insurance.  The time in months until the motorist 
is charged for driving without automobile insurance is exponentially distributed with 
median 1.733 months.  
 
Calculate the probability that the time until the motorist is charged is between the median 
and mean times until the motorist is charged.","1
0.5
e−
−","0.16
0.5
e−
−","1
e−","1
1","1
0.5
e−
+
"
523,"You are given the following information about two insurance policies: 
 
i) 
Losses covered by each policy follow a normal distribution with mean 
8000. 
ii) 
Losses covered by Policy I have standard deviation k. 
iii) 
Losses covered by Policy II have standard deviation 1.5k. 
 
The pth percentile of losses covered by Policy I is equal to the 81st percentile of losses 
covered by Policy II.  
 
Calculate p.",83.2,85.7,88.2,90.6,93.2
524,"In a group of 35 patients, 9 have high blood pressure, 9 have high cholesterol, and 15 
have high blood pressure or high cholesterol. 
 
From these 35 patients, a doctor needs to select a group of 8 patients for a test in which 
exactly 4 have high blood pressure only, exactly 1 has high cholesterol only, and exactly 
2 have both high blood pressure and high cholesterol. 
 
Calculate the number of different groups the doctor can select for this test.",90,270,"5,400","47,628","238,140"
525,"The joint distribution of television viewers’ habits in the two entertainment categories of 
Sports and Movies and the one non-entertainment category of News is: 
 
Regularly watches Sports: 
 
Regularly watches 
News 
Does not regularly 
watch News 
Regularly watches 
Movies 
0.35 
0.10 
Does not regularly 
watch Movies 
0.08 
0.06 
 
Does not regularly watch Sports 
 
Regularly watches 
News 
Does not regularly 
watch News 
Regularly watches 
Movies 
0.22 
0.06 
Does not regularly 
watch Movies 
0.05 
0.08 
 
Calculate the variance of the number of entertainment categories regularly watched by 
those television viewers who regularly watch News.",0.242,0.388,0.400,0.478,0.571
526,"A company insures homes in 50 different territories.  The company models annual 
tornado losses within each territory by an exponential distribution with mean 100,000.  
Because of the local nature of most tornadoes, losses in one territory are independent of 
losses in other territories.  Calculate the approximate probability that total annual tornado 
losses over all 50 territories exceed 5.5 million.",0.14,0.18,0.24,0.33,0.46
527,"Let X and Y be random variables for which 
 
i) 
Var (X) = Var (Y) 
ii) 
Var (X + Y) = 10 
iii) 
Var (X − 2Y) = 16. 
 
Calculate 
(
)
Cov
,
X Y .","1.0
−","0.1
−",0.1,1.0,2.0
528,"An actuary makes the following observations about an insurer’s fire and flood 
insurance policies: 
 
i) 
The probability that a client purchases neither policy exceeds the 
probability that a client purchases both policies by 0.20. 
 
ii) 
The probability that a client purchases both policies is positive. 
 
iii) 
The probability that a client purchases a fire policy given that the client 
purchases a flood policy is twice the probability that a client purchases a 
flood policy given that the client purchases a fire policy. 
 
Calculate the probability that a client purchases a flood policy.",0.27,0.33,0.40,0.53,0.80
529,"The number of errors on an application is modeled by a Poisson random variable with 
variance 0.25. 
 
The number of errors on any application is independent of the number of errors on all 
other applications. 
 
Calculate the probability that two applications contain a total of more than one error.",0.03,0.09,0.30,0.61,0.91
530,"A box contains three fair dice.  One has faces numbered 1, 2, 3, 4, 5, and 6; one has faces 
numbered 2, 2, 4, 4, 6, and 6; and one has all six faces numbered 6.  Two of the three dice 
are randomly selected and rolled. 
 
Calculate the probability that the sum of the numbers rolled on the two dice is 11.",0.025,0.028,0.074,0.111,0.222
531,"A policyholder is insured against both fire and theft claims.  The probability of a fire 
claim is 10%.  The probability of a theft claim is 30%. 
 
Let p be the probability of having neither a fire nor a theft claim, assuming fire and theft 
claims are independent.   
 
Let r be the probability of having neither a fire nor a theft claim, assuming fire and theft 
claims are mutually exclusive. 
 
Calculate p – r.",−0.06,−0.03,0.00,0.03,0.06
532,"In a certain region, 5% of all banks will fail in the next five years.  The FDIC insures 
80% of the banks in the region.  Only 3% of the banks in the region insured by the FDIC 
will fail in the next five years.  
 
Calculate the probability that a bank in the region that fails in the next five years is 
insured by the FDIC.",0.02,0.04,0.06,0.48,0.60
533,"This year, each of the ten employees of a company has probability 0.2 of having at least 
one accident.  The occurrences of accidents among different employees are mutually 
independent.  
 
Of the ten employees, six are in department A.  The other four are in department B.  
 
Exactly three of the ten employees each have at least one accident. 
 
Calculate the probability that at least one of these accidents occurs to an employee in 
department B.",0.201,0.500,0.590,0.784,0.833
534,"In a given year, the number of accidents an auto insurance policyholder experiences is 
Poisson distributed with mean 0.10.  The numbers of accidents by year are independent.   
 
Calculate the probability that a policyholder's first accident occurs during the sixth year 
of the policy, given that the policyholder experiences no accidents during the first two 
years of the policy.",0.0009,0.0577,0.0705,0.0729,0.3297
535,"A policyholder experiences one accident under a health insurance policy and one accident 
under a dental insurance policy.  The health insurance policy reimburses 80% of losses.  
Losses under this policy have variance 40,000.  The dental insurance policy reimburses 
90% of losses.  Losses under this policy have variance 10,000.   
 
The policyholder's two losses are independent.  
 
Calculate the variance of the policyholder's total unreimbursed loss under these policies.","1,700","9,000","16,300","33,700","50,000"
536,"A weighted six-sided die is rolled.  Let A be the event that the number rolled is less than 
5.  Let B be the event that the number rolled is less than 4.  Let C be the event that the 
number rolled is a 6.  The probabilities of A, B, and C are 0.3, 0.1, and 0.7, respectively. 
 
Calculate P[A ∪B] + P[A∪C] + P[B∪C].",1.10,1.89,2.10,2.17,2.20
537,"An actuary accepts an assignment to live and work in Key West, Florida for three years. 
 
The probability that there are no hurricanes in Key West is 0.75 per year.  If there is at 
least one hurricane in Key West in a year, then the probability is 0.35 that the actuary will 
need to evacuate in that year.  There is no other reason for the actuary to evacuate. 
 
The year-to-year occurrences of hurricanes in Key West are independent events. 
 
Calculate the probability that the actuary will need to evacuate at least once from Key 
West before the assignment is complete.",0.088,0.219,0.240,0.422,0.578
538,"Each person in a certain large population independently has probability 0.0625 of having 
a certain disease.  People in this population are tested for the disease, until somebody is 
found to have the disease.   
 
Calculate the mode of the number of people tested.",1,6,11,15,16
539,"The random variables X1, X2, X3 represent the values of three independent investments.  
Each is normally distributed with E(Xi) = 100 and Var(Xi) = 27i/2, i = 1, 2, 3.  Let Φ(x) 
denote the cumulative distribution function of the standard normal variable.   
 
Determine the probability that the average value of the three investments exceeds 106.","(2)
Φ",(2,1,1,1
540,"An insurance company pays a benefit for a duration of one year, two years, or five years, 
depending upon the severity of the claim.  Information about the distribution of claims in 
the past year by sex and duration of benefit is given in the following table: 
 
 
 
 
1 year 
2 years 
5 years 
Male 
20% 
40% 
40% 
Female 
10% 
70% 
20% 
 
Males accounted for 60% of all claims. 
 
Calculate the probability that a claimant was female, given that this claimant received a 
five-year benefit.",1/5,1/4,1/3,1/2,3/4
541,"The lifetime of an electronic component is exponentially distributed.  Given that the 
component lasts at least five years, the probability that it lasts at least fifteen years is 0.027.   
 
Calculate the probability that the component lasts at least 25 years, given that it lasts at least five 
years.",0.0007,0.0024,0.0135,0.0162,0.0450
542,"Each of the 76 employees of a company is either a low-risk or a high-risk employee.  
This year, each low-risk employee’s number of accidents has standard deviation 0.50 and 
each high-risk employee’s number of accidents has standard deviation 5.50.  The 
standard deviation of the total number of accidents for all the employees is 43.00.  The 
frequencies of accidents among the employees are independent. 
 
Calculate the number of low-risk employees.",1,15,38,61,75
543,"A renter’s insurance policy pays a percentage p of the amount by which each loss 
exceeds a deductible d.  Each policyholder reports a loss if and only if the loss exceeds 
the deductible. 
 
The variance of a reported loss is v.   
 
Determine the variance of the claim payment resulting from a reported loss.",pv,p2v,p(v,p2(v,(1
544,"Assume the distribution of the number of automobile claims per year for an auto 
insurance policyholder is described by the following table: 
Number of Claims 
Probability 
0 
0.4 
1 
0.3 
2 
0.2 
3 
0.1 
For each claim that occurs, there is a probability of 0.5 that the claim size is 500 and a 
probability of 0.5 that the claim size is 1000. Claim sizes are mutually independent. 
 
Calculate the probability that the total claim size for a randomly selected policyholder 
this year is greater than or equal to 2000, given that at least two claims occur.",0.14,0.25,0.29,0.46,0.88
545,"The total amount of all hurricane claims filed with a company in a one-year time period is 
modeled by a random variable, X, with density function  
 
/1,000,000
1
,
for
0
( )
1,000,000
0,
otherwise.
x
e
x
f x
−

>

= 

 
 
Calculate, to the nearest 100,000, the difference between the 15th and 95th percentiles of 
the total amount of hurricane claims.","1,800,000","1,900,000","2,700,000","2,800,000","3,000,000"
546,"A large lot of circuit boards contains 10% that are defective.  A test for defective boards 
is correct with 80% probability if the board is defective and correct with only 40% 
probability if the board is not defective.   
 
A randomly selected board is tested and the test indicates that the board is defective. 
 
Calculate the probability that the board is defective.",2/25,1/10,2/17,4/31,2/11
547,"A weather satellite is sending a binary code of 0s and 1s describing a tropical storm. 
Suppose 70% of the message being sent is 0s and there is an 80% chance of any 
particular 0 or 1 being received correctly.  (If a 1 is sent and incorrectly received, it is 
received as a 0, and vice versa.) 
 
Calculate the probability that a 0 was sent, given that a 1 was received.",0.16,0.34,0.37,0.63,0.90
548,"Urn A contains five red chips and four white chips.  Urn B contains four red chips and 
five white chips.  Two chips are transferred from urn A to urn B.  Then a single chip is 
drawn from urn B.    
 
Calculate the probability that the chip drawn from urn B will be white.",0.455,0.535,0.545,0.556,0.571
549,"Six people are seated randomly around a circular table.  Two of the six people are left-
handed.   
 
Calculate the probability that the two left-handed people are seated next to each other.",1/6,1/5,1/3,2/5,3/5
550,"In a group of nine people, five have high blood sugar.  Five people are to be chosen 
randomly from this group of nine.   
 
Calculate how many possible combinations contain exactly two people with high blood 
sugar.",10,14,40,100,126
551,"A motorist makes four driving errors this year.  Each error independently has probability 
0.3 of resulting in an accident.  The motorist’s insurance company reimburses up to two 
accidents due to the motorist’s errors this year.  
 
Calculate the probability that these four errors result in at least one unreimbursed 
accident.",0.03,0.08,0.24,0.32,0.41
552,"The distribution of the lifetime in years of a certain brand of lawnmower is uniform on 
the interval [a, b], where 0 < a < b.   
 
Determine the 80th percentile of the lifetime in years of this brand of lawnmower.",a,0.2a,0.8a,0.8(b,0.8(b
553,"A random variable X is exponentially distributed with 40th percentile equal to 4 ln




3
5 .  
 
Calculate the median of X.",5,4,5,4,5
554,"The base fare charged by airlines for flights from City A to City B is uniformly 
distributed on [100, 225].  In addition to the base fare, the airlines charge a processing fee 
of 15 and a 30% fuel surcharge applied to the base fare. 
 
Calculate the standard deviation of the total charge for a flight from City A to City B.",10.8,36.1,41.1,46.9,61.9
555,"The amount of beverage filled into each bottle by a bottling machine is independently and 
normally distributed with mean 12.0 ounces and standard deviation σ ounces. 
Approximately 20% of all 24-bottle cases contain more than 290 ounces of total 
beverage. 
 
Calculate σ .",0.01,0.10,0.49,2.38,10.10
556,"The profit on an individual insurance policy is normally distributed.  The 60th percentile 
of the profit is 1000.  The 80th percentile of the profit is 2000. 
 
Calculate the 95th percentile, to the nearest 100, of the profit.",2300,2400,2700,3400,3900
557,"A customer just purchased a refrigerator with a five-year warranty.  The number of years 
before the refrigerator malfunctions is exponentially distributed.  The probability that the 
refrigerator malfunctions before the five-year warranty expires is 0.40.   
 
Calculate the standard deviation of the number of years before the refrigerator 
malfunctions.",0.10,3.13,5.46,9.79,12.50
558,"The probability is 0.45 that a mouse exposed to a certain disease will develop it.  
 
The events of individual mice developing the disease are all mutually independent. 
 
Calculate the probability that the tenth mouse exposed to the disease will be the third to 
catch it.",0.0014,0.0499,0.1110,0.1165,0.1665
559,"Brand A air conditioning units have twice the expected life span of Brand B air 
conditioning units.  The life span for each brand is exponentially distributed. 
 
The probability that a Brand A air conditioning unit lasts at least 15 years is 0.046656.   
 
Calculate the probability that a Brand B air conditioning unit lasts at least 5 years.",0.01,0.03,0.07,0.13,0.18
560,"Homeowner losses due to fire are exponentially distributed with mean 6.  
 
Homeowners insurance policy A reimburses up to a maximum of m for a loss due to fire.    
 
Homeowners insurance policy B, with a different premium, reimburses up to a maximum 
of m + 2 for a loss due to fire. 
 
Let pA be the probability that a loss due to fire is partially unreimbursed under policy A.  
Let pB be the probability that a loss due to fire is partially unreimbursed under policy B.  
 
Determine 
B
A
p
p
.","12
e−","1/3
e−","(
2)/6
/6
1
1
m
m
e
e
−
+
−
−
−","6
12
6
1
1
m
m
e
e
−
−
−
−
−","2
m
m"
561,"From a collection of eight keys, Door A can only be opened with one key and Door B can 
only be opened with one other key. 
 
Calculate the probability that among four randomly selected keys, exactly three keys will 
open neither door.",0.03,0.11,0.29,0.42,0.57
562,"The damage from an accident at a certain intersection follows a uniform distribution on 
the interval [a ,b], where 0 < a < 3.  The probability that the damage is greater than 4, 
given that it is greater than 3, is 0.90.  The probability that the damage is greater than 4, 
given that it is less than 11, is 0.70.  
 
Calculate the unconditional probability that the damage is greater than 4.",0.70,0.75,0.80,0.85,0.90
563,"Losses under a boat insurance policy are exponentially distributed with mean 
2
ln
400 .  
For each loss, the claim payment is the amount of the loss, up to a maximum of 1000. 
 
Calculate the expected value of a claim payment.",298,367,400,475,577
564,"The length of an exchange student’s phone call depends on whether the call is domestic 
or international.  Lengths of domestic calls are exponentially distributed with a mean of 
0.75 minutes, and lengths of international calls are exponentially distributed with a mean 
of 0.50 minutes.  Each call has a 40% probability of being a domestic call and a 60% 
probability of being an international call.     
 
Calculate the probability that the length of a randomly selected phone call by the student 
is between one and three minutes.",0.178,0.200,0.222,0.250,0.378
565,"The proportion of cotton plants on a large farm infested with boll weevils is modeled by a 
continuous random variable with probability density function 
 
 
 
3
20
(1
),
for 0
1
( )
0,
otherwise.
x
x
x
f x

−
≤
≤

= 

 
 
Calculate the standard deviation of the proportion of cotton plants on the farm that are 
infested with boll weevils.",0.032,0.178,0.476,0.690,0.959
566,"The annual number of claims per policy for a class of insurance policies is modeled by a 
Poisson distribution with mean 1.20.   
 
A policy is randomly selected from those policies that had at least one claim in the past 
year. 
 
Calculate the probability that the selected policy had at least three claims in the past year.",0.10,0.12,0.15,0.17,0.20
567,"A company tests five batteries.  Each battery has a probability p of being defective, where 
p is a constant.  The events of different batteries being defective are mutually 
independent. 
 
The number of defective batteries out of the five batteries is a random variable, N, where 
(
)
2
E
1.80.
N
=
  
 
Calculate Var(
)
N .",0.80,0.98,1.15,1.67,1.80
568,"Policyholders of a particular type of insurance policy will have either zero claims or one 
claim.  The probability of zero claims is 20%.  If a claim is received, the claim size 
follows a normal distribution with mean 50,000 and standard deviation c. 
 
The probability that a randomly selected policyholder has a claim exceeding 55,000 is 
0.1837. 
 
Calculate c.",5546,6125,6490,6756,7120
569,"An insurance policy covers a house for ten calendar years for losses due to hailstorm and 
theft.  Only one loss due to hailstorm and only one loss due to theft are covered by the 
policy during any one calendar year.     
 
For the kth calendar year let 
k
H  be the event that the policy incurs a loss due to hailstorm 
and let 
kT  be the event that the policy incurs a loss due to theft,.  Suppose that the events 
1
10
1
10
,
,
,
,
,
H
H
T
T


 are mutually independent, and that   
 
[
]
0.2,
[
]
0.1, for all .
k
k
P H
P T
k
=
=
 
 
Calculate the probability that the total number of hailstorm and theft losses covered by 
the policy during the ten calendar years is less than two.",0.17,0.23,0.77,0.80,0.83
